analysis_split,image_id,class_id,native_h,native_w,native_beta0,native_beta1,resized_beta0,resized_beta1,native_foreground_fraction,resized_foreground_fraction,topology_preserved
train,Abyssinian_181,1,320,198,1,0,1,0,0.25959596,0.159729004,1
train,Abyssinian_192,1,176,300,1,2,1,1,0.348541667,0.204589844,0
train,Abyssinian_150,1,363,500,1,0,1,0,0.525333333,0.38079834,1
train,Abyssinian_133,1,496,700,1,0,1,0,0.390244816,0.277099609,1
train,Abyssinian_160,1,375,500,1,1,1,0,0.213402667,0.160583496,0
train,Abyssinian_1,1,400,600,1,0,1,0,0.171808333,0.114807129,1
train,Abyssinian_180,1,353,400,1,1,1,1,0.414582153,0.365661621,1
train,Abyssinian_110,1,319,400,1,0,1,0,0.619373041,0.493164062,1
train,Abyssinian_124,1,500,333,1,0,1,0,0.335975976,0.222595215,1
train,Abyssinian_117,1,401,500,1,0,1,0,0.390738155,0.31427002,1
train,Abyssinian_109,1,450,282,1,0,1,0,0.537793538,0.335388184,1
train,Abyssinian_106,1,1024,1536,1,0,1,0,0.335317612,0.222717285,1
train,Abyssinian_10,1,500,375,1,0,1,0,0.271781333,0.203918457,1
train,Abyssinian_148,1,375,500,1,0,1,0,0.384565333,0.288513184,1
train,Abyssinian_143,1,461,500,1,0,1,0,0.423127983,0.390258789,1
train,Abyssinian_11,1,288,192,1,0,1,0,0.268518519,0.177978516,1
train,Abyssinian_129,1,500,333,1,0,1,0,0.270852853,0.179626465,1
train,Abyssinian_113,1,425,640,1,0,1,0,0.22825,0.152099609,1
train,Abyssinian_164,1,328,500,1,0,1,0,0.099097561,0.0651245117,1
train,Abyssinian_190,1,300,297,1,0,1,0,0.299618406,0.297851562,1
train,Abyssinian_167,1,310,313,1,0,1,0,0.630835824,0.626159668,1
train,Abyssinian_182,1,375,500,1,0,1,0,0.353525333,0.265258789,1
train,Abyssinian_126,1,423,500,1,0,1,0,0.247711584,0.209594727,1
train,Abyssinian_101,1,313,450,1,0,1,0,0.292353568,0.20324707,1
train,Abyssinian_18,1,500,335,1,0,1,0,0.511271642,0.344177246,1
train,american_bulldog_194,2,500,461,2,0,2,0,0.367900217,0.338928223,1
train,american_bulldog_128,2,281,500,1,0,1,1,0.223145907,0.125854492,0
train,american_bulldog_117,2,500,375,1,0,1,0,0.372981333,0.279907227,1
train,american_bulldog_135,2,334,500,1,2,1,1,0.207724551,0.140869141,0
train,american_bulldog_121,2,333,500,1,0,1,1,0.11206006,0.07421875,0
train,american_bulldog_12,2,333,500,1,1,1,1,0.422288288,0.280212402,1
train,american_bulldog_112,2,500,333,1,0,1,0,0.414660661,0.274963379,1
train,american_bulldog_197,2,335,500,2,0,1,0,0.274877612,0.182922363,0
train,american_bulldog_125,2,465,500,1,1,1,1,0.534662366,0.496887207,1
train,american_bulldog_111,2,333,500,1,0,1,0,0.616744745,0.409851074,1
train,american_bulldog_166,2,500,375,2,0,2,0,0.658896,0.494445801,1
train,american_bulldog_108,2,500,375,1,0,1,0,0.268864,0.20111084,1
train,american_bulldog_180,2,334,500,1,0,1,0,0.48688024,0.326660156,1
train,american_bulldog_177,2,327,500,1,0,1,0,0.429443425,0.281677246,1
train,american_bulldog_146,2,500,375,2,0,1,0,0.556037333,0.416015625,0
train,american_bulldog_149,2,500,375,3,1,1,1,0.167317333,0.123413086,0
train,american_bulldog_133,2,334,500,1,0,1,0,0.438251497,0.294067383,1
train,american_bulldog_183,2,333,500,1,2,1,3,0.280636637,0.18572998,0
train,american_bulldog_101,2,334,500,1,0,1,0,0.285041916,0.191772461,1
train,american_bulldog_178,2,334,500,1,0,1,0,0.188742515,0.127685547,1
train,american_bulldog_13,2,333,500,1,0,1,0,0.765477477,0.506225586,1
train,american_bulldog_175,2,331,291,1,0,1,0,0.670528753,0.59161377,1
train,american_bulldog_168,2,375,500,2,0,2,0,0.384304,0.288269043,1
train,american_bulldog_179,2,334,500,1,0,1,0,0.573443114,0.385070801,1
train,american_bulldog_15,2,500,334,3,0,3,0,0.473413174,0.319030762,1
train,american_bulldog_164,2,375,500,1,0,1,4,0.251994667,0.188293457,0
train,american_bulldog_106,2,500,325,1,0,1,0,0.303175385,0.196044922,1
train,american_bulldog_189,2,500,334,1,0,1,0,0.729287425,0.489196777,1
train,american_bulldog_196,2,323,500,4,0,1,0,0.75780805,0.489624023,0
train,american_bulldog_200,2,319,500,3,0,2,0,0.390238245,0.249206543,0
train,american_bulldog_184,2,333,500,1,0,1,0,0.505327327,0.335754395,1
train,american_bulldog_142,2,500,333,1,0,1,0,0.709105105,0.471130371,1
train,american_bulldog_110,2,441,500,1,0,1,0,0.426435374,0.376037598,1
train,american_bulldog_113,2,333,500,1,0,1,0,0.507177177,0.336181641,1
train,american_bulldog_10,2,334,500,1,0,1,0,0.41360479,0.277893066,1
train,american_bulldog_139,2,500,334,1,0,1,0,0.274335329,0.184997559,1
train,american_bulldog_114,2,375,500,1,0,1,0,0.348704,0.262329102,1
train,american_bulldog_144,2,375,500,1,0,1,0,0.225189333,0.168395996,1
train,american_bulldog_199,2,334,500,1,0,1,0,0.611203593,0.410827637,1
train,american_bulldog_192,2,406,500,1,2,1,2,0.498349754,0.403869629,1
train,american_bulldog_152,2,334,500,1,0,1,0,0.595461078,0.400024414,1
train,american_bulldog_120,2,334,500,1,0,1,0,0.356520958,0.239013672,1
train,american_bulldog_127,2,334,500,1,0,1,0,0.217976048,0.147033691,1
train,american_bulldog_147,2,333,500,1,0,1,0,0.198294294,0.132202148,1
train,american_bulldog_148,2,375,500,1,0,1,0,0.308170667,0.231018066,1
train,american_bulldog_118,2,500,375,1,0,1,0,0.342869333,0.257141113,1
train,american_bulldog_102,2,500,334,1,0,1,0,0.359479042,0.242370605,1
train,american_bulldog_174,2,333,500,1,0,1,0,0.49175976,0.326416016,1
train,american_bulldog_129,2,500,382,1,0,1,0,0.480591623,0.368103027,1
train,american_bulldog_201,2,335,500,2,0,1,0,0.275361194,0.184875488,0
train,american_pit_bull_terrier_16,3,333,500,1,1,1,1,0.389915916,0.259094238,1
train,american_pit_bull_terrier_167,3,300,239,2,0,1,0,0.525885635,0.417907715,0
train,american_pit_bull_terrier_169,3,225,300,1,0,1,1,0.584162963,0.438232422,0
train,american_pit_bull_terrier_142,3,222,300,2,0,1,0,0.208648649,0.153564453,0
train,american_pit_bull_terrier_107,3,500,333,1,0,1,0,0.60784985,0.403747559,1
train,american_pit_bull_terrier_114,3,246,300,2,0,1,0,0.440243902,0.360656738,0
train,american_pit_bull_terrier_151,3,294,300,2,0,1,0,0.306950113,0.297424316,0
train,american_pit_bull_terrier_182,3,224,300,2,0,1,0,0.561696429,0.41986084,0
train,american_pit_bull_terrier_139,3,219,300,1,0,1,0,0.151674277,0.110900879,1
train,american_pit_bull_terrier_156,3,216,215,1,0,1,0,0.48126615,0.477844238,1
train,american_pit_bull_terrier_178,3,225,300,1,1,1,2,0.486814815,0.365234375,0
train,american_pit_bull_terrier_171,3,240,300,2,0,1,0,0.399888889,0.31640625,0
train,american_pit_bull_terrier_160,3,280,300,1,0,1,0,0.554285714,0.516540527,1
train,american_pit_bull_terrier_13,3,500,375,1,0,1,0,0.361589333,0.270874023,1
train,american_pit_bull_terrier_101,3,500,397,1,1,1,3,0.279919395,0.223510742,0
train,american_pit_bull_terrier_106,3,500,333,1,2,1,1,0.520306306,0.34576416,0
train,american_pit_bull_terrier_143,3,300,290,2,0,1,0,0.398563218,0.382629395,0
train,american_pit_bull_terrier_108,3,333,500,1,1,1,0,0.139465465,0.0919799805,0
train,american_pit_bull_terrier_147,3,225,300,2,0,1,0,0.260622222,0.194091797,0
train,american_pit_bull_terrier_116,3,199,300,1,1,1,1,0.244824121,0.162841797,1
train,american_pit_bull_terrier_10,3,368,500,1,0,1,0,0.232744565,0.170715332,1
train,american_pit_bull_terrier_173,3,225,300,2,0,1,0,0.261437037,0.195007324,0
train,american_pit_bull_terrier_161,3,300,258,2,0,1,0,0.336666667,0.286621094,0
train,american_pit_bull_terrier_150,3,300,225,2,0,1,0,0.511925926,0.382202148,0
train,american_pit_bull_terrier_148,3,225,300,1,0,1,0,0.297407407,0.223205566,1
train,american_pit_bull_terrier_113,3,300,164,2,0,1,0,0.663943089,0.362365723,0
train,american_pit_bull_terrier_119,3,225,300,2,0,1,0,0.293348148,0.220031738,0
train,american_pit_bull_terrier_112,3,225,300,2,0,1,0,0.506651852,0.378051758,0
train,american_pit_bull_terrier_149,3,300,224,2,0,1,2,0.672678571,0.50402832,0
train,american_pit_bull_terrier_155,3,225,300,2,0,1,0,0.277496296,0.205871582,0
train,american_pit_bull_terrier_115,3,300,191,2,1,1,1,0.456631763,0.289367676,0
train,american_pit_bull_terrier_126,3,200,119,1,2,1,2,0.452310924,0.267150879,1
train,american_pit_bull_terrier_168,3,300,288,1,0,1,0,0.235324074,0.227844238,1
train,american_pit_bull_terrier_124,3,300,225,2,0,1,0,0.484488889,0.361755371,0
train,american_pit_bull_terrier_137,3,225,300,2,0,2,0,0.280355556,0.206176758,1
train,american_pit_bull_terrier_12,3,500,342,4,0,4,0,0.230678363,0.158325195,1
train,american_pit_bull_terrier_15,3,500,375,1,0,1,0,0.173168,0.130249023,1
train,american_pit_bull_terrier_177,3,225,300,2,0,1,0,0.198355556,0.147827148,0
train,american_pit_bull_terrier_184,3,300,199,2,0,1,0,0.506298157,0.33416748,0
train,american_pit_bull_terrier_122,3,246,300,2,0,2,0,0.268943089,0.218200684,1
train,american_pit_bull_terrier_118,3,199,300,1,0,1,0,0.381122278,0.251953125,1
train,american_pit_bull_terrier_170,3,291,300,2,0,1,0,0.366792669,0.354125977,0
train,american_pit_bull_terrier_134,3,252,300,2,0,1,0,0.471865079,0.398071289,0
train,american_pit_bull_terrier_117,3,199,300,2,1,1,1,0.632763819,0.419616699,0
train,american_pit_bull_terrier_136,3,225,300,2,0,1,0,0.361659259,0.268310547,0
train,american_pit_bull_terrier_153,3,230,300,2,0,1,0,0.448637681,0.342773438,0
train,american_pit_bull_terrier_187,3,300,300,1,0,1,0,0.3925,0.393005371,1
train,american_pit_bull_terrier_105,3,500,333,1,0,1,0,0.343351351,0.228271484,1
train,american_pit_bull_terrier_144,3,174,300,2,1,1,0,0.278084291,0.159973145,0
train,american_pit_bull_terrier_18,3,500,375,1,0,1,0,0.576512,0.432189941,1
train,basset_hound_100,4,357,500,1,0,1,0,0.156840336,0.11114502,1
train,basset_hound_101,4,343,500,1,0,1,0,0.285381924,0.195800781,1
train,basset_hound_11,4,500,375,1,0,1,0,0.314592,0.235961914,1
train,basset_hound_126,4,333,500,1,1,1,2,0.327393393,0.217590332,0
train,basset_hound_131,4,375,500,1,1,1,1,0.472330667,0.353881836,1
train,basset_hound_146,4,333,500,1,0,1,0,0.245453453,0.162231445,1
train,basset_hound_108,4,500,380,1,0,1,0,0.560936842,0.425231934,1
train,basset_hound_181,4,375,500,1,0,1,0,0.841493333,0.632202148,1
train,basset_hound_140,4,333,500,1,0,1,0,0.183993994,0.121582031,1
train,basset_hound_13,4,500,375,1,1,1,1,0.682037333,0.510742188,1
train,basset_hound_127,4,375,500,1,3,1,2,0.4484,0.334533691,0
train,basset_hound_160,4,333,500,1,0,1,0,0.40778979,0.270751953,1
train,basset_hound_154,4,361,500,1,1,1,1,0.335551247,0.240539551,1
train,basset_hound_18,4,375,500,1,0,1,1,0.304336,0.22833252,0
train,basset_hound_183,4,333,500,1,0,1,0,0.602192192,0.399230957,1
train,basset_hound_12,4,500,375,1,0,1,0,0.279258667,0.208984375,1
train,basset_hound_141,4,333,500,1,0,1,0,0.55845045,0.37097168,1
train,basset_hound_186,4,333,500,1,0,1,0,0.146318318,0.0958862305,1
train,basset_hound_109,4,500,375,1,0,1,0,0.403141333,0.302185059,1
train,basset_hound_120,4,332,500,1,0,1,0,0.471463855,0.312805176,1
train,basset_hound_145,4,333,500,1,0,1,0,0.374852853,0.247375488,1
train,basset_hound_165,4,375,500,1,0,1,4,0.568837333,0.426696777,0
train,basset_hound_138,4,500,400,1,2,1,0,0.120735,0.0969238281,0
train,basset_hound_148,4,380,500,1,0,1,0,0.340968421,0.257995605,1
train,basset_hound_133,4,393,500,1,0,1,0,0.762259542,0.601379395,1
train,basset_hound_107,4,500,375,1,0,1,0,0.293973333,0.220031738,1
train,basset_hound_171,4,333,500,1,0,1,0,0.549531532,0.364685059,1
train,basset_hound_132,4,500,375,1,0,1,0,0.784416,0.588684082,1
train,basset_hound_143,4,333,500,1,0,1,0,0.165267267,0.109619141,1
train,basset_hound_118,4,332,500,1,0,1,0,0.595506024,0.395629883,1
train,basset_hound_170,4,333,500,1,0,1,0,0.527915916,0.350524902,1
train,basset_hound_106,4,357,500,1,2,1,1,0.12177591,0.0863647461,0
train,basset_hound_121,4,332,500,1,0,1,0,0.435445783,0.289306641,1
train,basset_hound_167,4,333,500,1,0,1,0,0.266012012,0.176818848,1
train,basset_hound_179,4,375,500,1,1,1,1,0.173626667,0.129882812,1
train,basset_hound_142,4,333,500,1,0,1,0,0.501417417,0.332580566,1
train,basset_hound_122,4,500,333,1,1,1,1,0.30615015,0.204223633,1
train,basset_hound_114,4,332,500,1,0,1,0,0.248216867,0.164916992,1
train,basset_hound_175,4,333,500,1,0,1,0,0.334624625,0.221923828,1
train,basset_hound_119,4,375,500,1,0,1,0,0.51248,0.384338379,1
train,basset_hound_144,4,333,500,1,0,1,0,0.146006006,0.0969848633,1
train,basset_hound_177,4,331,500,1,0,1,0,0.583933535,0.387451172,1
train,basset_hound_152,4,500,333,1,0,1,0,0.228384384,0.151977539,1
train,basset_hound_135,4,299,500,1,0,1,0,0.646648829,0.389282227,1
train,basset_hound_103,4,327,500,1,0,1,0,0.22511315,0.147583008,1
train,basset_hound_134,4,375,500,1,0,1,0,0.48872,0.36706543,1
train,basset_hound_184,4,500,334,1,0,1,0,0.411407186,0.276794434,1
train,basset_hound_187,4,500,403,1,1,1,1,0.314630273,0.252929688,1
train,basset_hound_110,4,500,333,1,6,1,1,0.467741742,0.310241699,0
train,basset_hound_180,4,375,500,1,0,1,0,0.285808,0.214660645,1
train,beagle_142,5,334,500,4,2,1,2,0.119287425,0.0785522461,0
train,beagle_119,5,500,456,1,0,1,1,0.155736842,0.142333984,0
train,beagle_175,5,375,500,2,0,1,0,0.191152,0.142456055,0
train,beagle_12,5,333,500,1,0,1,0,0.533447447,0.354064941,1
train,beagle_154,5,500,332,5,3,1,3,0.22013253,0.144104004,0
train,beagle_129,5,500,332,1,0,1,0,0.320325301,0.211547852,1
train,beagle_143,5,500,500,2,0,1,1,0.616172,0.61529541,0
train,beagle_137,5,375,500,5,4,1,0,0.175434667,0.127929688,0
train,beagle_18,5,500,336,1,0,1,0,0.525160714,0.353088379,1
train,beagle_134,5,334,500,1,4,1,0,0.283790419,0.191162109,0
train,beagle_121,5,375,500,1,0,1,0,0.445392,0.334106445,1
train,beagle_16,5,500,361,1,0,1,0,0.574443213,0.412109375,1
train,beagle_147,5,335,500,5,26,4,10,0.0608776119,0.0409545898,0
train,beagle_103,5,334,500,1,0,1,0,0.295664671,0.198730469,1
train,beagle_125,5,333,500,1,0,1,0,0.213171171,0.141601562,1
train,beagle_116,5,334,500,1,0,1,0,0.414137725,0.277587891,1
train,beagle_122,5,333,500,1,0,1,2,0.245861862,0.163513184,0
train,beagle_138,5,375,500,3,0,1,0,0.194602667,0.144836426,0
train,beagle_118,5,336,500,1,0,1,0,0.0873392857,0.0590820312,1
train,beagle_171,5,375,500,2,0,1,0,0.445648,0.334228516,0
train,beagle_126,5,500,352,1,0,1,0,0.609454545,0.426818848,1
train,beagle_156,5,334,500,3,0,1,0,0.170035928,0.113708496,0
train,beagle_104,5,333,500,1,0,1,0,0.374726727,0.249328613,1
train,beagle_135,5,240,360,1,25,1,6,0.339884259,0.222045898,0
train,beagle_102,5,500,333,1,0,1,0,0.25993994,0.173095703,1
train,beagle_155,5,380,500,1,11,1,7,0.4117,0.311828613,0
train,beagle_107,5,361,500,1,0,1,0,0.294919668,0.212463379,1
train,beagle_149,5,333,500,2,0,1,0,0.680774775,0.451416016,0
train,beagle_101,5,334,500,1,0,1,0,0.201413174,0.134765625,1
train,beagle_152,5,375,500,2,34,1,11,0.0850453333,0.0637817383,0
train,beagle_17,5,500,333,1,0,1,0,0.18448048,0.122192383,1
train,beagle_158,5,375,500,2,5,1,0,0.167072,0.125,0
train,beagle_117,5,332,500,1,0,1,0,0.260072289,0.172241211,1
train,beagle_173,5,288,352,1,1,1,0,0.289634628,0.237609863,0
train,beagle_130,5,375,500,3,4,2,0,0.049936,0.0372314453,0
train,beagle_151,5,374,500,2,3,1,0,0.618802139,0.462402344,0
train,beagle_150,5,361,500,1,1,1,0,0.386127424,0.276672363,0
train,beagle_181,5,334,500,3,0,1,0,0.491964072,0.33026123,0
train,beagle_110,5,500,437,1,0,1,0,0.431816934,0.378723145,1
train,beagle_190,5,290,500,3,0,1,0,0.0748344828,0.0424804688,0
train,beagle_162,5,281,500,3,0,3,0,0.204697509,0.113830566,1
train,beagle_176,5,500,379,2,1,1,0,0.604327177,0.457092285,0
train,beagle_182,5,333,500,2,0,1,0,0.255693694,0.170837402,0
train,beagle_191,5,500,333,2,3,1,1,0.177573574,0.117370605,0
train,beagle_111,5,333,500,1,0,1,0,0.399057057,0.264282227,1
train,beagle_112,5,500,333,1,0,1,0,0.392906907,0.260375977,1
train,beagle_160,5,375,500,1,1,1,0,0.195861333,0.147155762,0
train,beagle_123,5,375,500,1,3,1,2,0.065552,0.0488891602,0
train,beagle_131,5,375,500,2,8,1,1,0.385136,0.289306641,0
train,beagle_180,5,333,500,2,0,1,0,0.501147147,0.330749512,0
train,Bengal_16,6,333,500,1,0,1,0,0.541231231,0.360046387,1
train,Bengal_141,6,263,300,1,0,1,0,0.269873257,0.23614502,1
train,Bengal_144,6,225,300,1,0,1,0,0.366311111,0.276123047,1
train,Bengal_190,6,500,668,1,0,1,0,0.144497006,0.108276367,1
train,Bengal_146,6,200,200,1,0,1,0,0.596375,0.596679688,1
train,Bengal_178,6,225,300,2,0,2,0,0.324577778,0.242858887,1
train,Bengal_140,6,163,300,1,0,1,0,0.412515337,0.225219727,1
train,Bengal_128,6,334,500,1,0,1,0,0.531101796,0.356323242,1
train,Bengal_130,6,375,500,1,0,1,0,0.315077333,0.235351562,1
train,Bengal_143,6,225,300,1,3,1,2,0.5424,0.407287598,0
train,Bengal_13,6,256,500,1,0,1,0,0.28003125,0.144348145,1
train,Bengal_114,6,375,500,1,0,1,0,0.498165333,0.37310791,1
train,Bengal_142,6,225,300,1,0,1,0,0.493214815,0.369689941,1
train,Bengal_152,6,225,300,1,0,1,0,0.616992593,0.462402344,1
train,Bengal_175,6,181,300,1,0,1,0,0.38038674,0.228759766,1
train,Bengal_111,6,433,500,1,0,1,0,0.767616628,0.66607666,1
train,Bengal_117,6,332,500,1,0,1,0,0.255584337,0.170471191,1
train,Bengal_191,6,375,500,1,0,1,0,0.323194667,0.242797852,1
train,Bengal_120,6,375,500,1,0,1,0,0.131941333,0.0990600586,1
train,Bengal_137,6,225,300,1,1,1,0,0.372933333,0.280029297,0
train,Bengal_183,6,300,350,1,0,1,0,0.38372381,0.33026123,1
train,Bengal_154,6,300,200,2,0,2,0,0.477,0.31652832,1
train,Bengal_101,6,455,500,1,1,1,1,0.37076044,0.336730957,1
train,Bengal_119,6,500,356,1,0,1,0,0.515617978,0.366882324,1
train,Bengal_11,6,336,500,1,0,1,0,0.286547619,0.192871094,1
train,Bengal_165,6,300,277,1,0,1,0,0.336389892,0.308898926,1
train,Bengal_100,6,333,500,1,0,1,0,0.27409009,0.181945801,1
train,Bengal_115,6,500,333,1,0,1,0,0.483891892,0.321960449,1
train,Bengal_124,6,371,500,1,0,1,0,0.423983827,0.314025879,1
train,Bengal_170,6,300,225,1,3,1,2,0.361377778,0.271850586,0
train,Bengal_18,6,333,500,1,0,1,0,0.178750751,0.118225098,1
train,Bengal_158,6,225,300,1,0,1,0,0.130444444,0.0975341797,1
train,Bengal_160,6,300,296,1,0,1,0,0.718063063,0.706787109,1
train,Bengal_148,6,200,300,1,0,1,0,0.5987,0.398193359,1
train,Bengal_110,6,332,500,1,0,1,0,0.397403614,0.263793945,1
train,Bengal_151,6,225,300,1,2,1,4,0.407422222,0.305786133,0
train,Bengal_133,6,200,300,1,0,1,0,0.231183333,0.153625488,1
train,Bengal_185,6,475,700,1,0,1,0,0.441509774,0.299743652,1
train,Bengal_171,6,225,300,1,0,1,0,0.501451852,0.376220703,1
train,Bengal_167,6,225,300,1,0,1,0,0.380962963,0.286010742,1
train,Bengal_129,6,281,500,1,0,1,0,0.57455516,0.322998047,1
train,Bengal_118,6,500,375,1,0,1,0,0.172938667,0.130310059,1
train,Bengal_186,6,300,470,1,0,1,1,0.757,0.485412598,0
train,Bengal_168,6,225,300,1,0,1,0,0.254533333,0.190979004,1
train,Bengal_139,6,225,300,1,1,1,0,0.557822222,0.418762207,0
train,Bengal_12,6,335,500,1,0,1,0,0.485516418,0.326721191,1
train,Bengal_182,6,566,625,1,0,1,0,0.564675618,0.511962891,1
train,Bengal_176,6,225,300,1,0,1,0,0.541688889,0.406738281,1
train,Bengal_157,6,246,262,1,0,1,0,0.672438404,0.629882812,1
train,Bengal_153,6,225,300,1,0,1,0,0.163985185,0.122741699,1
train,Birman_120,7,375,500,1,0,1,0,0.691077333,0.518127441,1
train,Birman_151,7,500,375,1,0,1,0,0.223722667,0.167358398,1
train,Birman_152,7,339,500,1,0,1,0,0.55480826,0.375854492,1
train,Birman_162,7,500,334,1,1,1,1,0.496706587,0.333984375,1
train,Birman_190,7,333,500,1,0,1,0,0.468084084,0.311157227,1
train,Birman_185,7,334,500,1,0,1,0,0.488449102,0.327575684,1
train,Birman_134,7,500,375,1,0,1,0,0.514213333,0.386169434,1
train,Birman_116,7,500,333,1,0,1,0,0.539201201,0.358581543,1
train,Birman_126,7,500,334,1,0,1,0,0.39211976,0.262451172,1
train,Birman_108,7,393,500,3,0,2,2,0.494916031,0.389770508,0
train,Birman_161,7,335,500,1,0,1,0,0.253373134,0.169616699,1
train,Birman_182,7,333,500,1,0,1,0,0.61760961,0.410217285,1
train,Birman_114,7,376,500,1,0,1,0,0.744462766,0.55859375,1
train,Birman_156,7,375,500,1,0,1,0,0.293914667,0.220458984,1
train,Birman_127,7,375,500,1,0,1,0,0.476309333,0.356689453,1
train,Birman_10,7,330,500,1,0,1,0,0.409945455,0.268737793,1
train,Birman_160,7,334,500,1,9,1,2,0.662041916,0.444396973,0
train,Birman_137,7,333,500,1,0,1,0,0.063009009,0.0422363281,1
train,Birman_183,7,333,500,1,0,1,0,0.625693694,0.414978027,1
train,Birman_115,7,358,500,1,0,1,0,0.384692737,0.276428223,1
train,Birman_124,7,333,500,1,0,1,0,0.487705706,0.323608398,1
train,Birman_168,7,333,500,1,0,1,0,0.581309309,0.385498047,1
train,Birman_14,7,500,375,1,0,1,0,0.501946667,0.377258301,1
train,Birman_103,7,335,500,2,0,2,0,0.3516,0.236083984,1
train,Birman_173,7,333,500,1,1,1,1,0.390276276,0.259887695,1
train,Birman_188,7,500,334,1,0,1,0,0.462946108,0.311462402,1
train,Birman_17,7,500,359,1,0,1,0,0.757203343,0.543457031,1
train,Birman_122,7,334,500,1,0,1,0,0.50554491,0.33984375,1
train,Birman_169,7,500,333,1,0,1,0,0.388714715,0.257446289,1
train,Birman_164,7,319,352,1,0,1,0,0.888750356,0.804992676,1
train,Birman_131,7,332,500,1,0,1,0,0.437662651,0.291015625,1
train,Birman_159,7,333,500,1,2,1,5,0.638246246,0.424194336,0
train,Birman_110,7,375,500,1,0,1,0,0.526085333,0.394226074,1
train,Birman_146,7,375,500,1,0,1,0,0.273274667,0.20513916,1
train,Birman_111,7,333,500,1,0,1,0,0.540744745,0.35949707,1
train,Birman_179,7,375,500,1,0,1,0,0.192746667,0.145202637,1
train,Birman_15,7,500,281,1,3,1,2,0.460213523,0.258117676,0
train,Birman_166,7,333,500,1,0,1,0,0.262504505,0.17376709,1
train,Birman_180,7,375,500,1,0,1,0,0.082832,0.0625,1
train,Birman_102,7,500,332,1,0,1,0,0.51126506,0.338989258,1
train,Birman_104,7,500,357,1,0,1,0,0.278117647,0.197570801,1
train,Birman_133,7,375,500,1,0,1,0,0.183957333,0.138122559,1
train,Birman_147,7,332,500,1,0,1,0,0.364692771,0.242126465,1
train,Birman_189,7,334,500,1,0,1,1,0.358299401,0.240783691,0
train,Birman_150,7,335,500,1,2,1,2,0.739391045,0.497436523,1
train,Birman_155,7,333,500,1,0,1,0,0.402066066,0.267028809,1
train,Birman_171,7,500,400,1,0,1,0,0.45002,0.358215332,1
train,Birman_112,7,375,500,1,0,1,0,0.604293333,0.452819824,1
train,Birman_154,7,500,375,1,0,1,1,0.426976,0.319152832,0
train,Birman_130,7,344,500,1,0,1,0,0.568755814,0.390808105,1
train,Bombay_138,8,600,909,1,0,1,0,0.445685735,0.292297363,1
train,Bombay_148,8,375,500,1,1,1,0,0.28456,0.213378906,0
train,Bombay_188,8,225,300,1,0,1,0,0.1956,0.146118164,1
train,Bombay_102,8,225,300,1,1,1,1,0.401585185,0.301452637,1
train,Bombay_121,8,209,300,1,0,1,0,0.532185008,0.370910645,1
train,Bombay_161,8,375,500,1,0,1,0,0.549104,0.412414551,1
train,Bombay_103,8,143,114,1,0,1,0,0.554471844,0.440063477,1
train,Bombay_129,8,590,438,1,1,1,1,0.491517684,0.365112305,1
train,Bombay_115,8,428,600,1,0,1,0,0.739575545,0.525756836,1
train,Bombay_127,8,350,234,1,0,1,0,0.523748474,0.35168457,1
train,Bombay_182,8,303,455,1,0,1,0,0.214833351,0.143432617,1
